[38.52408, -76.77904]
[38.52455, -76.77917]
[38.52498, -76.77921]
[38.52555, -76.77919]
[38.52585, -76.77914]
[38.52626, -76.779]
[38.5265, -76.77889]
[38.52699, -76.77856]
[38.52761, -76.77804]
[38.52831, -76.77741]
[38.52877, -76.77708]
[38.52898, -76.77696]
[38.52951, -76.77675]
[38.53001, -76.77665]
[38.53049, -76.77663]
[38.53093, -76.77667]
[38.53127, -76.77675]
[38.53172, -76.77691]
[38.53219, -76.77718]
[38.53251, -76.77743]
[38.53489, -76.77952]
[38.53533, -76.77997]
[38.53581, -76.78054]
[38.53617, -76.78104]
[38.5365, -76.78155]
[38.53771, -76.78366]
[38.53804, -76.78411]
[38.53843, -76.78451]
[38.53897, -76.78494]
[38.54014, -76.78586]
[38.54058, -76.78628]
[38.54089, -76.78664]
[38.54201, -76.78823]
[38.54227, -76.78867]
[38.54247, -76.7891]
[38.54265, -76.78966]
[38.54314, -76.7915]
[38.54338, -76.79218]
[38.54362, -76.79271]
[38.54412, -76.79361]
[38.54537, -76.79567]
[38.54652, -76.79771]
[38.54876, -76.80153]
[38.54902, -76.80206]
[38.54935, -76.80282]
[38.54961, -76.80352]
[38.54978, -76.80412]
[38.54997, -76.80495]
[38.5501, -76.80584]
[38.55015, -76.80649]
[38.55019, -76.8076]
[38.55029, -76.80911]
[38.55086, -76.81933]
[38.5509, -76.82009]
[38.55099, -76.82133]
[38.55103, -76.82191]
[38.55105, -76.82288]
[38.5511, -76.82362]
[38.55134, -76.82592]
[38.55154, -76.8274]
[38.5517, -76.82837]
[38.55236, -76.83174]
[38.55298, -76.83478]
[38.55329, -76.836]
[38.55357, -76.83688]
[38.55408, -76.83827]
[38.55934, -76.85154]
[38.5597, -76.85234]
[38.55998, -76.8529]
[38.56053, -76.85385]
[38.56358, -76.85852]
[38.56402, -76.8591]
[38.56439, -76.85949]
[38.56485, -76.85992]
[38.56539, -76.86031]
[38.56602, -76.86066]
[38.56661, -76.8609]
[38.56711, -76.86104]
[38.56769, -76.86112]
[38.56887, -76.86117]
[38.57602, -76.86137]
[38.57783, -76.8613]
[38.58168, -76.86106]
[38.58219, -76.86109]
[38.58271, -76.86118]
[38.5834, -76.8614]
[38.58395, -76.86164]
[38.58447, -76.86193]
[38.58531, -76.86256]
